"ccaa" "prov" "sexo" "edad" "nacio" "educ" "situa" "rentah" "factorele" "provsex" "edad2" "edad3" "edad4" "edad5" "edu1" "edu2" "edu3" "nacio1" "situ1" "situ2" "situ3" "uchogar" "rentanorm" "pobre" "dom"
"139" 1 4 1 2 1 2 3 15935 1902.96448 41 1 0 0 0 0 1 0 1 0 0 1 2.3 6928.261 0 7
"140" 1 4 1 0 1 0 0 15935 1902.96448 41 0 0 0 0 0 0 0 1 0 0 0 2.3 6928.261 0 7
"141" 1 4 1 4 1 1 3 9812 839.46422 41 0 0 1 0 1 0 0 1 0 0 1 1.5 6541.333 1 7
"142" 1 4 2 4 1 1 3 9812 839.46422 42 0 0 1 0 1 0 0 1 0 0 1 1.5 6541.333 1 8
"143" 1 4 1 5 1 1 3 12670 2948.19118 41 0 0 0 1 1 0 0 1 0 0 1 2 6335 1 7
"144" 1 4 2 5 1 1 3 12670 2948.19118 42 0 0 0 1 1 0 0 1 0 0 1 2 6335 1 8
"145" 1 4 1 3 1 2 3 12670 2948.19118 41 0 1 0 0 0 1 0 1 0 0 1 2 6335 1 7
"146" 1 4 1 3 1 2 1 12427 2577.65399 41 0 1 0 0 0 1 0 1 1 0 0 2.1 5917.619 1 7
"147" 1 4 2 3 1 2 2 12427 2577.65399 42 0 1 0 0 0 1 0 1 0 1 0 2.1 5917.619 1 8
"148" 1 4 1 0 1 0 0 12427 2577.65399 41 0 0 0 0 0 0 0 1 0 0 0 2.1 5917.619 1 7
"149" 1 4 2 0 1 0 0 12427 2577.65399 42 0 0 0 0 0 0 0 1 0 0 0 2.1 5917.619 1 8
"150" 1 4 1 5 1 1 3 15628.43 485.26029 41 0 0 0 1 1 0 0 1 0 0 1 2 7814.215 0 7
"151" 1 4 2 4 1 1 3 15628.43 485.26029 42 0 0 1 0 1 0 0 1 0 0 1 2 7814.215 0 8
"152" 1 4 1 3 1 2 1 15628.43 485.26029 41 0 1 0 0 0 1 0 1 1 0 0 2 7814.215 0 7
"153" 1 4 1 3 1 2 1 14200 1088.49808 41 0 1 0 0 0 1 0 1 1 0 0 2.1 6761.905 0 7
"154" 1 4 2 3 1 2 3 14200 1088.49808 42 0 1 0 0 0 1 0 1 0 0 1 2.1 6761.905 0 8
"155" 1 4 2 0 1 0 0 14200 1088.49808 42 0 0 0 0 0 0 0 1 0 0 0 2.1 6761.905 0 8
"156" 1 4 1 0 1 0 0 14200 1088.49808 41 0 0 0 0 0 0 0 1 0 0 0 2.1 6761.905 0 7
"157" 1 4 1 3 1 1 1 11354.467 1502.24717 41 0 1 0 0 1 0 0 1 1 0 0 1.8 6308.037 1 7
"158" 1 4 2 3 1 1 3 11354.467 1502.24717 42 0 1 0 0 1 0 0 1 0 0 1 1.8 6308.037 1 8
"159" 1 4 2 0 1 0 0 11354.467 1502.24717 42 0 0 0 0 0 0 0 1 0 0 0 1.8 6308.037 1 8
"160" 1 4 2 3 1 1 1 25420.951 294.59808 42 0 1 0 0 1 0 0 1 1 0 0 1 25420.951 0 8
"161" 1 4 1 4 1 1 3 9000 2297.86108 41 0 0 1 0 1 0 0 1 0 0 1 1.5 6000 1 7
"162" 1 4 2 4 1 1 3 9000 2297.86108 42 0 0 1 0 1 0 0 1 0 0 1 1.5 6000 1 8
"163" 1 4 1 3 1 1 1 25420.951 294.59808 41 0 1 0 0 1 0 0 1 1 0 0 1 25420.951 0 7
"164" 1 4 1 3 1 1 1 34910 1906.57258 41 0 1 0 0 1 0 0 1 1 0 0 3 11636.667 0 7
"165" 1 4 2 3 1 1 1 34910 1906.57258 42 0 1 0 0 1 0 0 1 1 0 0 3 11636.667 0 8
"166" 1 4 2 5 1 1 3 34910 1906.57258 42 0 0 0 1 1 0 0 1 0 0 1 3 11636.667 0 8
"167" 1 4 2 2 1 2 3 34910 1906.57258 42 1 0 0 0 0 1 0 1 0 0 1 3 11636.667 0 8
"168" 1 4 2 2 1 2 1 34910 1906.57258 42 1 0 0 0 0 1 0 1 1 0 0 3 11636.667 0 8
"169" 1 4 1 5 1 1 3 9960 3653.33514 41 0 0 0 1 1 0 0 1 0 0 1 1.5 6640 0 7
"170" 1 4 2 5 1 1 3 9960 3653.33514 42 0 0 0 1 1 0 0 1 0 0 1 1.5 6640 0 8
"171" 1 4 1 3 1 1 1 10800 4171.73094 41 0 1 0 0 1 0 0 1 1 0 0 1.5 7200 0 7
"172" 1 4 2 3 1 2 3 10800 4171.73094 42 0 1 0 0 0 1 0 1 0 0 1 1.5 7200 0 8
"173" 1 4 2 3 1 2 3 68940 1428.37115 42 0 1 0 0 0 1 0 1 0 0 1 2.1 32828.573 0 8
"174" 1 4 1 3 1 1 1 68940 1428.37115 41 0 1 0 0 1 0 0 1 1 0 0 2.1 32828.573 0 7
